País	Produto	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
El Salvador	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$10,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$10,00	$0,00	$0,00	$0,00
Emirados Arabes Unidos	Espumantes	$0,00	$0,00	$0,00	$0,00	$804,00	$590,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$164,00	$36,00	$3.240,00
Equador	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$3,00	$0,00	$0,00
Espanha	Espumantes	$0,00	$0,00	$3.094,00	$0,00	$0,00	$5.057,00	$0,00	$22.468,00	$0,00	$0,00	$0,00	$64.735,00	$9.453,00	$3,00	$230,00	$0,00
Estados Unidos	Espumantes	$85.474,00	$86.898,00	$324.094,00	$200.975,00	$172.488,00	$333.438,00	$513.426,00	$364.136,00	$136.533,00	$92.868,00	$143.306,00	$170.620,00	$172.961,00	$1.023.709,00	$1.647.310,00	$2.123.710,00
Estonia	Espumantes	$0,00	$0,00	$0,00	$0,00	$1.860,00	$0,00	$1.882,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Filipinas	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$109,00	$0,00	$0,00
Filânldia	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$6.359,00	$4.084,00	$9.556,00	$0,00	$0,00	$35.948,00	$0,00	$0,00	$0,00	$7.065,00	$0,00
França	Espumantes	$0,00	$4.200,00	$15.429,00	$0,00	$3.951,00	$4.436,00	$6.116,00	$22.664,00	$42.952,00	$203.297,00	$0,00	$0,00	$9.147,00	$15.835,00	$37.286,00	$5.366,00
Gana	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$3.696,00	$0,00	$3.555,00
Gibraltar	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$85,00	$0,00	$0,00
Grêcia	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$391,00	$280,00	$309,00	$360,00
Guatemala	Espumantes	$0,00	$0,00	$0,00	$0,00	$10,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$1.052,00	$2.933,00	$4.318,00	$0,00
Guiana	Espumantes	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$93,00	$6,00	$221,00	$0,00	$61,00	$0,00	$0,00	$0,00	$0,00
Guiné Equatorial	Espumantes	$0,00	$0,00	$416,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$17.056,00	$0,00	$0,00	$0,00	$0,00	$0,00
