País	Produto	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Mauritânia	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
México	Suco	0,00	116.865,00	0,00	18.550,00	37.074,00	61.932,00	83.291,00	86.626,00	109.550,00	82.377,00	95.340,00	76.435,00	24.173,00	24.602,00	46.857,00	8.829,00
Moçambique	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	477,00
Mônaco	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	36,00	0,00
Montenegro	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	12,00
Namíbia	Suco	90,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Nigéria	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	30,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Noruega	Suco	0,00	0,00	0,00	0,00	0,00	0,00	2.016,00	0,00	0,00	0,00	0,00	0,00	501,00	0,00	554,00	592,00
Nova Caledônia	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	924,00
Nova Zelândia	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	18.550,00	9.275,00	9.275,00	0,00	0,00	9.275,00	0,00	0,00	0,00
Países Baixos	Suco	37.100,00	18.550,00	0,00	0,00	0,00	12.575,00	30,00	185.500,00	0,00	31,00	0,00	90,00	97,00	144,00	84,00	7.194,00
Panamá	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	450,00	0,00	0,00	534,00	691,00	1.335,00	3.376,00
Paquistão	Suco	0,00	0,00	390,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Paraguai	Suco	611,00	5.441,00	73.332,00	11.683,00	13.693,00	14.707,00	52.267,00	57.407,00	118.336,00	170.571,00	105.816,00	120.644,00	128.378,00	23.723,00	216.654,00	233.881,00
Peru	Suco	0,00	0,00	0,00	7.950,00	0,00	11.925,00	5.035,00	10.755,00	10.995,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Polônia	Suco	0,00	0,00	0,00	0,00	0,00	379,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Porto Rico	Suco	388.500,00	381.495,00	407.105,00	351.740,00	75.860,00	74.200,00	0,00	0,00	18.550,00	0,00	0,00	0,00	0,00	0,00	0,00	24.380,00
Portugal	Suco	0,00	0,00	0,00	0,00	121,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	2.082,00	24,00	105.284,00	222.502,00
Quênia	Suco	0,00	0,00	0,00	0,00	0,00	0,00	8,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Reino Unido	Suco	0,00	0,00	0,00	30,00	0,00	0,00	0,00	0,00	312,00	0,00	8.706,00	457,00	8.216,00	672,00	1.464,00	8.829,00
República Centro Africana	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
República Dominicana	Suco	36.040,00	10.335,00	30.210,00	21.465,00	21.431,00	38.160,00	14.310,00	37.365,00	25.970,00	20.270,00	25.970,00	44.520,00	29.680,00	29.680,00	14.840,00	27.825,00
República Federativa da Rússia	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Rússia	Suco	98.050,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	72,00	0,00	0,00
São Tomé e Príncipe	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	120,00	0,00	0,00	0,00	0,00
Senegal	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Serra Leoa	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	12,00	0,00	0,00	0,00
Singapura	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	3.526,00	2.020,00
Sri Lanka	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	49,00	0,00	0,00
Suécia	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Suíça	Suco	34,00	0,00	165,00	297,00	119,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	5,00	0,00	0,00	276,00
Suriname	Suco	0,00	0,00	0,00	0,00	0,00	41.000,00	21.750,00	12.250,00	25.250,00	23.445,00	15.000,00	19.000,00	0,00	3.180,00	13.030,00	5.300,00
Tailândia	Suco	1.800,00	4.500,00	3.000,00	4.500,00	2.400,00	0,00	2.700,00	3.300,00	4.980,00	0,00	3.960,00	6.720,00	96,00	84,00	1.278,00	2,00
Taiwan (Formosa)	Suco	11.427,00	11.404,00	11.404,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1.809,00	0,00	58.358,00	60.813,00
Tanzânia	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Tcheca, República	Suco	2.245,00	1.306,00	996,00	0,00	941,00	0,00	0,00	120,00	360,00	0,00	130,00	194,00	0,00	0,00	0,00	0,00
Togo	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	642,00	709,00	0,00	0,00	0,00	0,00	0,00
Trinidade e Tobago	Suco	0,00	30.985,00	3.446,00	0,00	0,00	18.550,00	37.100,00	18.550,00	37.100,00	39.155,00	37.610,00	18.550,00	0,00	0,00	0,00	0,00
Turquia	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	108,00	24,00	48,00	0,00
Uruguai	Suco	1.002,00	125,00	250,00	320,00	160,00	241,00	160,00	0,00	0,00	672,00	0,00	0,00	0,00	0,00	0,00	0,00
Vanuatu	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	12,00
Venezuela	Suco	0,00	0,00	0,00	7.688,00	450,00	52.680,00	53.280,00	123.975,00	53.333,00	17.640,00	632.937,00	0,00	0,00	0,00	240,00	0,00
Africa do Sul	Uva	0,00	0,00	0,00	15.300,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	8,00	44,00	0,00
Alemanha, República Democrática	Uva	818.198,00	2.256.707,00	1.297.991,00	759.594,00	713.942,00	1.167.243,00	1.021.075,00	2.457.655,00	1.649.514,00	3.277.187,00	2.384.112,00	3.353.831,00	2.870.420,00	1.863.097,00	1.371.694,00	1.461.590,00
Angola	Uva	0,00	0,00	33.860,00	29.700,00	0,00	0,00	350,00	0,00	0,00	0,00	0,00	0,00	15,00	75,00	0,00	0,00
Antígua e Barbuda	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	65,00	190,00	304,00	437,00
Arabia Saudita	Uva	0,00	0,00	47.328,00	0,00	0,00	15.300,00	0,00	0,00	0,00	61.200,00	0,00	0,00	14.725,00	167.731,00	32.325,00	2.818,00
Argélia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	20.672,00	0,00	0,00	0,00
Argentina	Uva	336.434,00	475.525,00	724.192,00	414.008,00	446.280,00	264.816,00	170.851,00	32.640,00	0,00	0,00	1.156.368,00	2.872.152,00	1.536.650,00	1.186.878,00	2.002.784,00	4.606.314,00
Áustria	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Bahamas	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	25.630,00	2.869,00	3.208,00	3.482,00
Bahrein	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Bangladesh	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	30,00	17,00
Barbados	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	15,00	110,00	83,00	180,00
Barein	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	27,00	958,00	250,00	277,00
Bélgica	Uva	707.707,00	2.251.500,00	3.163.866,00	1.507.559,00	1.777.534,00	122.727,00	0,00	0,00	16.848,00	88.832,00	0,00	0,00	150.493,00	176.918,00	12.757,00	202,00
Belize	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	20,00	20,00	55,00
Bermudas	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	23,00	228,00	390,00	96,00
Bolívia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	17,00	0,00	0,00	0,00	0,00	0,00	10,00	0,00	92.974,00	436.800,00
Bosnia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	52,00	447,00	0,00
Brasil	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	18,00	0,00	70,00
Bulgária	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	100,00	0,00
Burquina Faso	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00	0,00	0,00
Cabo Verde	Uva	0,00	86,00	10,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Camores	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	20,00	10,00	0,00
Canadá	Uva	778.444,00	1.516.231,00	739.519,00	688.878,00	716.985,00	834.800,00	751.591,00	725.927,00	292.980,00	239.200,00	110.752,00	12.983,00	36.798,00	24.565,00	86.635,00	321.755,00
Catar	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1.100,00	81,00	336,00	5.615,00
Cayman, Ilhas	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	61,00	216,00	341,00	372,00
Chile	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	14,00	0,00	25,00	189,00	266,00	109,00
China	Uva	93.976,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	418,00	1.113,00	1.197,00	1.744,00
Chipre	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	414,00	2.173,00	3.407,00	2.590,00
Cingapura	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1.705,00	7.081,00	6.933,00	0,00
Colombia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	15,00	10,00
Congo	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	20,00
Coreia do Norte	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	30,00	0,00
Coreia do Sul	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	54,00	270,00	226,00	245,00
Costa do Marfim	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	16,00	0,00	0,00
Coveite	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	8,00	0,00	0,00	0,00	0,00	0,00	0,00	1.572,00	20.023,00
Croácia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	16,00	10,00
Curaçao	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00
Dinamarca	Uva	26.730,00	41.600,00	414.062,00	251.800,00	364.955,00	12.480,00	12.480,00	111.100,00	97.760,00	118.565,00	12.000,00	0,00	102.775,00	56.095,00	62.450,00	109.922,00
Djibuti	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	25,00	0,00
Egito	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00	20,00	0,00	10,00
Emirados Arabes Unidos	Uva	16.320,00	33.435,00	160.700,00	16.728,00	80.784,00	50.184,00	65.280,00	233.100,00	918.000,00	1.341.949,00	1.648.528,00	1.645.205,00	365.615,00	240.422,00	220.576,00	99.808,00
Eslovenia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00	0,00	10,00	0,00
Espanha	Uva	76.038,00	77.556,00	0,00	0,00	127.930,00	12.480,00	0,00	0,00	0,00	0,00	14.400,00	28.872,00	494.802,00	1.094.483,00	1.743.131,00	4.554.938,00
Estados Unidos	Uva	13.822.334,00	11.025.955,00	19.027.635,00	12.444.690,00	13.128.195,00	16.251.053,00	8.825.628,00	2.666.978,00	61.300,00	500.450,00	425.988,00	1.820.656,00	2.682.088,00	6.117.999,00	7.879.841,00	13.610.118,00
Falkland (Ilhas Malvinas)	Uva	0,00	0,00	0,00	0,00	14,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	31,00	20,00	15,00	20,00
Faroé, Ilhas	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	25,00	0,00
Filipinas	Uva	0,00	0,00	0,00	0,00	15.909,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	114,00	594,00	441,00	317,00
Finlândia	Uva	15.300,00	0,00	24.580,00	58.825,00	36.500,00	0,00	109.278,00	304.120,00	152.500,00	123.500,00	24.000,00	111.720,00	0,00	0,00	0,00	12.480,00
França	Uva	61.200,00	5.908,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	63,00	816,00	3.091,00	1.419,00	367,00
Gana	Uva	0,00	20,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	100,00
Georgia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	26.928,00	0,00	0,00
Gibraltar	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	69,00	231,00	243,00	198,00
Grêcia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1.456,00	2.650,00	2.802,00	4.029,00
Guadalupe	Uva	32.640,00	15.300,00	15.300,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Guiana	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1.432,00	3.116,00
Guiana Francesa	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	64,00	0,00	0,00	0,00
Guine Equatorial	Uva	0,00	0,00	34,00	30,00	143,00	0,00	80,00	2.912,00	4.000,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Honduras	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00
Hong Kong	Uva	0,00	15.640,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1.105,00	18.566,00	19.362,00	27.507,00
Ilha de Man	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	48,00	150,00	136,00	230,00
Ilhas Virgens	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Índia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	341,00	560,00	502,00	423,00
Indonésia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	13,00	0,00
Irã	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	509,00	218,00	230,00
Irlanda	Uva	59.171,00	336.410,00	764.178,00	628.605,00	220.120,00	88.760,00	61.300,00	80.500,00	0,00	0,00	162.885,00	199.402,00	143.330,00	514.814,00	805.090,00	1.493.198,00
Islandia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	12.000,00	0,00	13.000,00	0,00	40,00	0,00
Itália	Uva	109.500,00	91.454,00	145.500,00	103.500,00	115.000,00	115.000,00	118.705,00	48.000,00	0,00	0,00	0,00	0,00	28,00	154,00	118,00	10.095,00
Japão	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	239,00	721,00	779,00	476,00
Jérsei	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	24,00	0,00	0,00
Jordânia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	265,00	31,00	0,00
Letonia	Uva	0,00	0,00	0,00	0,00	32.400,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	30,00	40,00	0,00
Líbano	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	85,00	33,00	25,00
Libéria	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1.297,00	9.242,00	10.238,00	10.468,00
Líbia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	20,00	20,00	0,00
Lituania	Uva	120.780,00	195.696,00	94.212,00	45.900,00	140.380,00	114.350,00	111.944,00	119.288,00	255.411,00	133.236,00	0,00	0,00	0,00	0,00	0,00	15.150,00
Luxemburgo	Uva	0,00	0,00	0,00	0,00	0,00	0,00	4.320,00	0,00	0,00	0,00	0,00	1.416,00	0,00	7,00	0,00	0,00
Malasia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	30,00	20,00	2.065,00	1.159,00
Malta	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	689,00	4.094,00	4.282,00	5.445,00
Marrocos	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	8,00	10,00
Marshall, Ilhas	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1.430,00	9.668,00	13.769,00	12.996,00
Martinica	Uva	16.320,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Mauricio	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Mauritânia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	16,00
Mexico	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Mônaco	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	20,00	20,00	0,00
Mongólia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00	0,00
Montenegro	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	40,00	33,00
Nigéria	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	61.200,00	0,00	0,00	0,00	0,00	0,00	0,00
Noruega	Uva	954.200,00	1.624.180,00	1.434.054,00	1.406.774,00	1.016.725,00	963.990,00	1.273.703,00	1.213.647,00	918.992,00	604.000,00	661.500,00	518.000,00	168.732,00	277.423,00	183.232,00	255.034,00
Omã	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	60,00	43,00	0,00
Países Baixos	Uva	33.642.617,00	40.604.569,00	34.413.288,00	22.662.669,00	26.149.217,00	25.334.471,00	26.638.825,00	20.822.086,00	14.927.182,00	17.860.220,00	16.136.676,00	24.328.153,00	22.330.171,00	19.526.035,00	20.360.309,00	32.469.515,00
Panamá	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1.675,00	8.349,00	10.170,00	10.378,00
Paquistão	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	48,00
Paraguai	Uva	0,00	0,00	0,00	0,00	577,00	0,00	2.005,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	3.750,00	450,00
Polonia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	20,00	4,00	162,00
Porto Rico	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Portugal	Uva	85.428,00	28.253,00	0,00	0,00	0,00	18,00	0,00	10,00	0,00	0,00	0,00	13.155,00	205,00	945,00	15.803,00	1.525,00
Reino Unido	Uva	10.149.844,00	17.676.083,00	18.580.726,00	13.299.002,00	15.023.635,00	13.266.351,00	12.426.198,00	13.294.489,00	8.957.593,00	9.569.389,00	7.619.756,00	9.034.528,00	8.558.646,00	13.501.346,00	13.978.476,00	16.631.939,00
Republica Dominicana	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Romênia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	40,00	0,00	0,00	0,00
Russia,  Federação da	Uva	214.200,00	550.147,00	873.977,00	31.488,00	301.102,00	501.930,00	45.320,00	61.440,00	66.912,00	208.715,00	0,00	199.140,00	80,00	48.084,00	216.906,00	283.727,00
São Tomé e Principe	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
São Vicente e Granadinas	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	20,00	19,00
Senegal	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00
Singapura	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	18.086,00
Sri Lanka	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	32,00	0,00	0,00
Suécia	Uva	66.000,00	192.700,00	246.711,00	161.000,00	368.010,00	240.313,00	364.265,00	957.936,00	0,00	89.000,00	357.380,00	249.805,00	101.350,00	72.036,00	50,00	30,00
Suíça	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1.022,00	472,00	2.209,00	3.331,00
Suriname	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	25,00
Tailândia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	113,00	879,00	762,00	746,00
Taiwan	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	39,00	0,00	90,00	72,00
Togo	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	13,00	0,00	0,00
Trindade e Tobago	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Turcas e Caicos, ilhas	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00	18,00	0,00
Turquia	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	126,00	485,00	353,00	662,00
Tuvalu	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,00	6,00	0,00	0,00
Uruguai	Uva	47.555,00	66.352,00	40.428,00	33.634,00	28.848,00	35.216,00	14.864,00	48.720,00	28.960,00	108.040,00	86.816,00	104.368,00	187.316,00	81.440,00	68.196,00	95.722,00
Vanuatu	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	26,00	73,00
Venezuela	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Vietnã	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00	0,00	18,00	100,00
Provisão de Navios e Aeronaves	Uva	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	30,00	0,00	0,00	0,00
Afeganistão	Vinho	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	11,00
África do Sul	Vinho	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	26,00	4,00	0,00
Alemanha, República Democrática	Vinho	38.302,00	119.512,00	265.742,00	225.086,00	27.715,00	36.070,00	8.189,00	61.699,00	213.348,00	10.680,00	14.012,00	15.467,00	10.794,00	3.660,00	6.261,00	2.698,00
Angola	Vinho	3.766,00	25.931,00	25.721,00	54.786,00	33.557,00	13.889,00	2.833,00	1.573,00	12.182,00	1.908,00	7.359,00	10.170,00	477,00	345,00	0,00	0,00
Anguilla	Vinho	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Antígua e Barbuda	Vinho	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	37,00	219,00	624,00	805,00
Antilhas Holandesas	Vinho	19.116,00	17.025,00	17.938,00	8.235,00	9.810,00	7.335,00	9.247,00	11.281,00	4.455,00	6.660,00	16.641,00	5.400,00	0,00	0,00	0,00	0,00
