País	Produto	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Filânldia	Espumantes	0,00	0,00	0,00	0,00	0,00	1.287,00	378,00	693,00	0,00	0,00	7.522,00	0,00	0,00	0,00	1.078,00	0,00
França	Espumantes	0,00	1.974,00	5.922,00	0,00	990,00	1.481,00	945,00	5.400,00	7.808,00	16.246,00	0,00	0,00	2.163,00	3.123,00	7.481,00	1.015,00
Gana	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	810,00	0,00	654,00
Gibraltar	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	43,00	0,00	0,00
Grêcia	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	63,00	74,00	97,00	147,00
Guatemala	Espumantes	0,00	0,00	0,00	0,00	4,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	206,00	446,00	760,00	0,00
Guiana	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	14,00	1,00	22,00	0,00	4,00	0,00	0,00	0,00	0,00
Guiné Equatorial	Espumantes	0,00	0,00	2,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	7.738,00	0,00	0,00	0,00	0,00	0,00
Guiné-Bissau	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Haiti	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	48,00	0,00	0,00	0,00	0,00	0,00	0,00	1.331,00	4.978,00
Honduras	Espumantes	0,00	0,00	54,00	0,00	0,00	55,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Hong Kong	Espumantes	0,00	0,00	810,00	120,00	0,00	424,00	320,00	586,00	7.556,00	414,00	225,00	450,00	225,00	2.801,00	4.124,00	3.669,00
Hungria	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	96,00
Índia	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	18,00	25,00	0,00
Iraque	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Irlanda	Espumantes	0,00	0,00	0,00	0,00	360,00	1.335,00	450,00	1.373,00	0,00	0,00	0,00	0,00	0,00	14,00	0,00	0,00
Islândia	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	10,00	0,00
Italia	Espumantes	0,00	0,00	0,00	2.369,00	99,00	1.602,00	90,00	315,00	180,00	0,00	135,00	1.467,00	1.307,00	522,00	150,00	172,00
Japão	Espumantes	378,00	1.395,00	964,00	2.900,00	4.737,00	632,00	1.197,00	17.009,00	22.290,00	1.826,00	3.658,00	48.604,00	7.853,00	10.242,00	7.294,00	6.811,00
Jordânia	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	30,00	0,00
Letonia	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	158,00	0,00	0,00	0,00	0,00
Líbano	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	29,00	0,00	540,00
Libéria	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	300,00	1.207,00	1.105,00	795,00
Luxemburgo	Espumantes	590,00	300,00	1.683,00	993,00	846,00	471,00	0,00	765,00	1.080,00	0,00	45,00	360,00	113,00	495,00	0,00	0,00
Maldivas	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	3.023,00
Malta	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	359,00	1.692,00	364,00
Marshall, Ilhas	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	158,00	1.594,00	2.093,00	1.057,00
Montenegro	Espumantes	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	9,00
Mexico	Espumantes	0,00	0,00	0,00	0,00	95.328,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	737,00	0,00	0,00	0,00
Nicarágua	Espumantes	0,00	0,00	0,00	0,00	20,00	39,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
